Name,Effect,Type of Trait,Price
Crazy Genius,60% base performance* but if they don't receive a performance buff* they become Lunatic at the end of the battle.,Positive,2
Thick,Their performance cannot go past 50%.,,-1
Hermit,-20%P if adjacent to a crew member* +10%P instead if alone.,,1
Cannibal,Every 2 turns they will bite an adjacent crew member for -1HP while they heal +1HP. If they drop an adjacent crew member to less than 3HP* they gain the trait Missing an Arm and a Leg.,,-1
Claustrophobic,If their module isn't isolated* they become Lunatic at the end of the battle.,,-1
Hypochondriac,If adjacent to someone that's sick* they become Lunatic.,,-1
Constipated,Upon death* they explode and shit flies everywhere* making their module and all adjacent modules excrement-flooded.,,-1
Mysterious,Once recruited* they gain a random secondary trait.,,-1
Glutton,If they are healed by Tasty Seafood* Tasty Pizza* Expired Sushi* Box of Chocolates or Acid Lemons* they gain 1 max HP. // They heal 2HP instead of 1HP from those items. // 1st effect is kinda broken whenever you can reliably produce food* so probably needs to be the 2nd effect* and then Sushi Lover RIP.,,2
Rookie,50% chance their module is set on fire every 2 turns.,,-2
Rebel,At the start of each battle* they move to a random adjacent module.,,-2
Prone to Panic Attacks,If their module is hit* they become stunned.,,-2
Big D Energy,If they get hit by the enemy* a random adjacent crew member sacrifices their own HP instead.,Positive,3
Lacks Personality,Until the end of the battle* copies the trait of a random adjacent crew member. // of a random crew member in the ship.,Positive,3
Pervert,-20%P if adjacent to a crew member of the opposite gender.,,-1
Dictator,+5%P to adjacent crew members* but those exposed to Dictator will forever have -10% base performance when not adjacent to Dictator.,,1
Quitter,After each battle* there's a 20% chance they quit the expedition for good.,,-2
Pyromaniac,Every 2 turns* there’s a 33% chance their module sets on fire.,,-1
Itchy Back,-20%P unless they have a crew member adjacent to the right (behind their back to scratch it).,,-1
Smelly Feet,Unless their module is flooded* the crew member adjacent below will become sick at turn 4.,,-1
Fragile,3 max HP.,,-2
Slow Learner,10% base performance* but +5%P after every successful battle up to 6 times.,,1
Magic Trick Enthusiast,Every 2 turns there’s a 33% chance they swap places with a random crew member.,,-2
Moody,At battle start* they will either gain 10%P or lose 20%P until the end of the battle.,,-1
Tardy,They won't be present at battle start* but instead appear in their module at turn 6.,,-2
Psychopath,They have a secondary trait that changes randomly at the start of every battle.,,-2
Senile,At the end of each battle* there's a 20% chance they forget their profession forever.,,-2
War Fanatic,+10%P in offensive modules* -20%P in defensive modules.,Positive,3
Pacifist,+10%P in defensive modules* -20%P in offensive modules.,Positive,3
Tilter,If you lose more than 400 ship health in a battle* they will quit the expedtion.,,-2
Thief,If they or an adjacent crew member holds an item* there's a 50% chance it disappears at the end of the battle.,,-2
Toxic,If you lose more than 300 ship health in a battle* -10%P to adjacent crew members.,,-1
Has an Imaginary Friend,If they weren't adjacent to an empty module at the end of the battle* they become Lunatic. A random adjacent empty module will count as manned for its effect activation.,Positive,2
Flat Earther,-20%P to adjacent scientists* and their or adjacent scientific modules will be inactive.,,-1
Unlucky,Any percentage-based effect on this crew member will have a higher chance of having a negative outcome instead of a positive one.,,-1
Lucky,Any percentage-based effect on this crew member will have a higher chance of having a positive outcome instead of a negative one.,Positive,3
Insecure,If any adjacent crew member surpasses their performance* they become stunned for the rest of the battle.,,-1
Jealous Professional,-20%P if they're adjacent to a crew member of their same profession.,,-1
Elitist,-20%P unless every other crew member is beneath them.,,-1
He Shits Himself,If they or an adjacent module is hit by the enemy* their module becomes excrement-flooded.,,-1
Geek,+10%P in modules of X type* and -20%P in any other module type* where the X type is only known when recruited.,Positive,3
Serial Killer,Only exists as a hidden secondary trait on applicants in the shop. If an adjacent crew member has 2 or less HP* they are murdered* but the Serial Killer trait will remain hidden.,,?
Low Self-esteem,If their performance is lowered* then it is lowered an extra 20%.,,-1
Exhibitionist,Every 4 turns* they will stun a random adjacent crew member.,,-2
Empathetic,When an adjacent crew member suffers an ailment* they also suffer the same ailment.,,-1
Bad Eyesight,-10%P versus small enemies* but +10%P instead versus big enemies.,,1
Elderly,15% chance of dropping dead at the end of a battle.,,-2
Boss Wannabe,At battle start* they order two other random crew members to switch places.,,-2
Masochist,-20%P* but +10%P every time they lose HP.,,2
Sadistic,If an adjacent crew member loses health* +5%P.,Positive,3
Could be 2 Kids in a Trenchcoat,50% chance that after being recruited they divide into two cadets with 40% base performance.,,3
Selfish,If they're about to get hit by the enemy* they swap modules with the nearest crew member right before the hit.,,2
In Love,They always appear in pairs in the shop. +10%P if adjacent to another In Love crew member* but if an In Love crew member dies* the other will become Lunatic.,,1
Casanova,When recruited* they and a random crew member will have In Love as their secondary traits.,,2
Martyr,If an adjacent crew member loses HP* there’s a 50% chance they sacrifice their own HP instead.,,1
Unhygienic,Every 2 turns there's a 20% chance they get sick.,,-1
Full of Shit,Upon death* they explode and shit flies everywhere* making their module and all adjacent modules excretion-flooded.,,-1
Bully,-20%P to the lowest-performing crew member in the ship other than themselves.,,-2
Lazy and Rich,30% base performance. If their performance was lowered* receive 1 coin at the end of the battle.,,1
Selfless,If a crew member is about to die* they sacrifice their own life instead.,,1
Hero,If your ship health runs out* they sacrifice themselves to avoid the defeat and your ship is rescued back to 200 health.,Positive,3
Best Buddies,This trait always appears in pairs in the shop. They can only be recruited if both applicants are. +5%P when adjacent to each other.,Positive,2
Pregnant,"Always comes with a secondary trait. After 2 battles she becomes automatically equipped with Lucky Baby. If they lose hold of this item except by its own effect* they become Lunatic. The crew member this Lucky Baby turns into will have the same trait as the mother's trait that isn't ""Pregnant"".",Positive,2
Has the Flu,For the battle after they’re recruited* each other crew member has a 50% chance of becoming sick.,,-1
Uncontrollable Flatulences,Every 4 turns* 33% chance of a Fart Bubble is formed in the vicinity (even if you don’t have an available slot) and 33% chance they shit themselves instead of farting and the module is excrement-flooded. Maximum 1 Fart Bubble per battle.,,-1
Spiritual Meditator,Upon death* they will revive with their trait changed to Ghost.,Positive,2
Seasick,At battle start* 50% chance they puke* excrement-flooding their module. After not puking twice in a row* they never puke again.,,-1
Liar,Only exists as a hidden secondary trait on applicants in the shop. Once recruited their trait will change to Liar* will gain a random secondary trait* and their profession will change to another random one.,,?
Can’t Swim,If their module is water-flooded* -1HP/2turns.,,-1
Has Explosive Diarrhea,Every 2 turns there's a 33% chance that their module and a random adjacent one become excrement-flooded.,,-1
Necromancy Enthusiast,If a crew member dies* there's a 50% chance they are revived with their trait changed to Doomed.,Positive,3
Has War Flashbacks,If they are in an offensive or defensive module* they become Lunatic by the end of the battle.,,-1
Anti-Vaxxer,Adjacent Doctors will have -20%P.,,-1
Traitor,Only exists as a hidden secondary trait on applicants in the shop. After 2 battles* at the start of each battle there’s a 50% chance Traitor is revealed and they proceed to sabotage the expedition damading adjacent crew members for -1HP/4turns.,,?
Undercover Competitor,Only exists as a hidden secondary trait on applicants in the shop. After 2 battles* it will be revealed you have an Undercover Competitor* but not who they are* and everything in the shop will cost 1 extra coin.,,?
Hearing Loss,At battle start* there's a 50% chance they swap to another module of the same type as the one they’re in.,,-1
Has Gross Eating Habits,If there’s an excrement-flooded module* they will swap places into that module* clean it up* and gain 1 HP.,Positive,2
Robot,Always has 60% base performance. Their performance can't be lowered and they can't recover HP. If flooded it will short-circuit and die.,Positive,3
Avid Swimmer,If their module is Water-flooded once per battle they swim to another Water-flooded module in order to avoid an enemy hit.,,1
Unreliable,Every time you enter a market or emporium* there's a 33% chance they swap themselves for another random crew member in the market or empoium.,,-1
Porn Addict,-20%P if in or adjacent to an automatised or scientific module.,,-1
Parties Hard 1,In the next battle after a victorious battle* those that were adjacent to them will become Alseep at battle start.,,-2
